data,ticker,empresa,categoria,assunto,protocolo,link
06/08/2026 18:11,FLRY3,FLEURY S.A.,Comunicado ao Mercado,Apresentação de Resultados 2T26,1553660,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1078366&numVersao=1&numProtocolo=1553660&descTipo=IPE&CodigoInstituicao=1
06/08/2026 18:20,HYPE3,HYPERA S.A.,Dados Econômico-Financeiros,Press Release 2T26 (PORT e ENG),1553678,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1078384&numVersao=1&numProtocolo=1553678&descTipo=IPE&CodigoInstituicao=1
06/08/2026 18:38,FLRY3,FLEURY S.A.,Aviso aos Acionistas,Dividendos/Juros sobre Capital Próprio,1553704,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1078410&numVersao=1&numProtocolo=1553704&descTipo=IPE&CodigoInstituicao=1
06/08/2026 18:09,FLRY3,FLEURY S.A.,Dados Econômico-Financeiros,DF versão português,1553649,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1078355&numVersao=1&numProtocolo=1553649&descTipo=IPE&CodigoInstituicao=1
07/08/2026 08:46,HYPE3,HYPERA S.A.,Comunicado ao Mercado,Apresentação de Resultados do 2T26; Apresentação de Resultados do 2T26,1553909,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1078615&numVersao=1&numProtocolo=1553909&descTipo=IPE&CodigoInstituicao=1
10/08/2026 19:25,FLRY3,FLEURY S.A.,Comunicado ao Mercado,11ª Emissão de Debêntures,1555402,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1080108&numVersao=1&numProtocolo=1555402&descTipo=IPE&CodigoInstituicao=1
10/08/2026 19:47,FLRY3,FLEURY S.A.,Dados Econômico-Financeiros,11ª Emissão de Debêntures,1555429,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1080135&numVersao=1&numProtocolo=1555429&descTipo=IPE&CodigoInstituicao=1
11/08/2026 19:40,BLAU3,BLAU FARMACÊUTICA S.A.,Dados Econômico-Financeiros,Release 2T26,1556040,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1080746&numVersao=1&numProtocolo=1556040&descTipo=IPE&CodigoInstituicao=1
11/08/2026 19:46,BLAU3,BLAU FARMACÊUTICA S.A.,Dados Econômico-Financeiros,Demonstrações Financeiras 2T26,1556053,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1080759&numVersao=1&numProtocolo=1556053&descTipo=IPE&CodigoInstituicao=1
12/08/2026 10:20,BLAU3,BLAU FARMACÊUTICA S.A.,Comunicado ao Mercado,Apresentação de Resultados 2T26,1556191,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1080897&numVersao=1&numProtocolo=1556191&descTipo=IPE&CodigoInstituicao=1
12/08/2026 18:17,QUAL3,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Dados Econômico-Financeiros,Demonstrações Financeiras Intermediárias 2T2026 - Versão Português,1556502,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1081208&numVersao=1&numProtocolo=1556502&descTipo=IPE&CodigoInstituicao=1
12/08/2026 18:27,QUAL3,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Dados Econômico-Financeiros,Release 2T26,1556513,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1081219&numVersao=1&numProtocolo=1556513&descTipo=IPE&CodigoInstituicao=1
12/08/2026 18:45,RDOR3,REDE DOR SÃO LUIZ S.A.,Dados Econômico-Financeiros,Press-release de Resultados 2T26,1556594,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1081300&numVersao=1&numProtocolo=1556594&descTipo=IPE&CodigoInstituicao=1
12/08/2026 18:45,COGN3,COGNA EDUCAÇÃO S.A.,Dados Econômico-Financeiros,Divulgação de Resultados 2T26,1556591,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1081297&numVersao=1&numProtocolo=1556591&descTipo=IPE&CodigoInstituicao=1
